strategy,pair,total_return,sharpe_ratio,max_drawdown,win_rate,trades,fast_window,slow_window,strategy_name,rsi_window,bb_window,short_window,long_window
SMA Crossover,AAVEBTC,-99.92793969900876,-93.55559670199851,99.92793969900876,4.513888888888888,576,15.0,40.0,SMACrossover,,,,
RSI with BB,AAVEBTC,-37.79701398124734,-6.486995068640071,52.228203433638264,41.342756183745585,284,,,RSIWithBB,14.0,20.0,,
MA Crossover,AAVEBTC,-97.47116869513637,-57.83292286183808,97.47671681120671,6.859205776173286,278,,,MACrossover,,,25.0,100.0
SMA Crossover,ADABTC,-99.94279778894946,-93.49254998211156,99.94288742942723,4.793388429752066,605,15.0,40.0,SMACrossover,,,,
RSI with BB,ADABTC,-38.09472861707529,-6.19235970916947,51.96251872317461,40.07782101167315,258,,,RSIWithBB,14.0,20.0,,
MA Crossover,ADABTC,-96.4307985567901,-50.70656621172841,96.43555749204768,6.7669172932330826,267,,,MACrossover,,,25.0,100.0
SMA Crossover,ADXBTC,-89.64587057927496,-38.479984993755586,89.64587057927493,12.849162011173185,180,15.0,40.0,SMACrossover,,,,
RSI with BB,ADXBTC,-2.483473788695335,-0.19731741256580757,24.73705925166364,46.22641509433962,107,,,RSIWithBB,14.0,20.0,,
MA Crossover,ADXBTC,-85.62507989087857,-36.70158880008751,85.6250798908786,11.971830985915492,143,,,MACrossover,,,25.0,100.0
SMA Crossover,AGLDBTC,-99.58981900560279,-58.24801244925324,99.59056356995823,11.11111111111111,459,15.0,40.0,SMACrossover,,,,
RSI with BB,AGLDBTC,-65.70149174371596,-11.694645244434303,71.21195103445362,39.1644908616188,384,,,RSIWithBB,14.0,20.0,,
MA Crossover,AGLDBTC,-96.00959853799576,-36.58538604246103,96.05115969633812,14.173228346456693,254,,,MACrossover,,,25.0,100.0
SMA Crossover,ALGOBTC,-99.94135361616782,-89.79741881086676,99.94147469507702,4.827586206896552,580,15.0,40.0,SMACrossover,,,,
RSI with BB,ALGOBTC,-30.525562736552132,-3.922488514191026,46.58920846873156,41.83673469387755,295,,,RSIWithBB,14.0,20.0,,
MA Crossover,ALGOBTC,-97.4375150996449,-51.43531430914262,97.43751509964493,6.227106227106227,273,,,MACrossover,,,25.0,100.0
SMA Crossover,API3BTC,-99.95584169037895,-87.80978805222877,99.95584169037895,4.923599320882852,589,15.0,40.0,SMACrossover,,,,
RSI with BB,API3BTC,-42.795011034101606,-6.529168397008212,54.70043203490024,41.66666666666667,313,,,RSIWithBB,14.0,20.0,,
MA Crossover,API3BTC,-96.99344249692417,-45.33150150084497,96.99344249692415,7.894736842105263,266,,,MACrossover,,,25.0,100.0
SMA Crossover,APTBTC,-99.94517246770009,-90.2230732149628,99.94517246770009,5.383360522022838,613,15.0,40.0,SMACrossover,,,,
RSI with BB,APTBTC,-49.01734882135677,-8.301979928728658,59.952075200065856,39.67213114754099,306,,,RSIWithBB,14.0,20.0,,
MA Crossover,APTBTC,-95.47377987612184,-44.24882652381503,95.47969650373483,9.811320754716983,266,,,MACrossover,,,25.0,100.0
SMA Crossover,ARBBTC,-99.91397255660719,-93.39703564232529,99.91397255660716,4.288164665523156,583,15.0,40.0,SMACrossover,,,,
RSI with BB,ARBBTC,-40.19887803834075,-7.2815411528858975,50.577256219668286,39.25619834710744,243,,,RSIWithBB,14.0,20.0,,
MA Crossover,ARBBTC,-94.62499633056126,-48.3819265601479,94.6464963452391,9.090909090909092,243,,,MACrossover,,,25.0,100.0
SMA Crossover,ARKMBTC,-99.95314940247985,-81.57607186886332,99.95314940247985,7.179487179487179,585,15.0,40.0,SMACrossover,,,,
RSI with BB,ARKMBTC,-58.1056121011123,-8.25545811801039,62.91184816078618,42.0353982300885,453,,,RSIWithBB,14.0,20.0,,
MA Crossover,ARKMBTC,-95.35321453465583,-36.4889727323138,95.3532145346558,13.360323886639677,248,,,MACrossover,,,25.0,100.0
SMA Crossover,ATOMBTC,-99.96223949254735,-104.96932952154155,99.96223949254735,4.207119741100324,618,15.0,40.0,SMACrossover,,,,
RSI with BB,ATOMBTC,-38.2236552875177,-7.280139697778704,48.92119222264586,38.46153846153847,209,,,RSIWithBB,14.0,20.0,,
MA Crossover,ATOMBTC,-97.10074481134656,-58.672581249117144,97.10227416845855,7.2202166064981945,277,,,MACrossover,,,25.0,100.0
SMA Crossover,AUCTIONBTC,-99.20195787008129,-43.433418803114535,99.20195787008126,11.61137440758294,422,15.0,40.0,SMACrossover,,,,
